Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,496
design__inferred_latch__count,0
design__instance__count,52121
design__instance__area,225802
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,96
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.005610189400613308
power__switching__total,0.0045629385858774185
power__leakage__total,2.241676355652089E-7
power__total,0.010173352435231209
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.2952399241984106
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.29575673303099
timing__hold__ws__corner:nom_tt_025C_1v80,0.3201652367178742
timing__setup__ws__corner:nom_tt_025C_1v80,9.318084345643967
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320165
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.175214
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1221
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,96
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3251366767848695
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3247150140681915
timing__hold__ws__corner:nom_ss_100C_1v60,0.9111380796627231
timing__setup__ws__corner:nom_ss_100C_1v60,7.046361027440384
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.911138
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.199654
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,96
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.28040956461603656
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.28118499990951684
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10878853681371978
timing__setup__ws__corner:nom_ff_n40C_1v95,10.303438394111199
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108789
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.576440
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1630
design__max_fanout_violation__count,96
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2765426022007508
clock__skew__worst_setup,0.2770867225205083
timing__hold__ws,0.10741280391384714
timing__setup__ws,6.8584064813045655
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.107413
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.969361
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,10293
design__instance__area__stdcell,78622.9
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.348195
design__instance__utilization__stdcell,0.348195
design__rows,81
design__rows:unithd,81
design__sites,180468
design__sites:unithd,180468
design__instance__count__class:buffer,34
design__instance__area__class:buffer,150.144
design__instance__count__class:inverter,100
design__instance__area__class:inverter,420.403
design__instance__count__class:sequential_cell,1078
design__instance__area__class:sequential_cell,21580.7
design__instance__count__class:multi_input_combinational_cell,3924
design__instance__area__class:multi_input_combinational_cell,38204.1
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,41828
design__instance__area__class:fill_cell,147179
design__instance__count__class:tap_cell,3278
design__instance__area__class:tap_cell,4101.43
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1645
design__instance__area__class:timing_repair_buffer,11717.5
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,207894
design__violations,0
design__instance__count__class:clock_buffer,151
design__instance__area__class:clock_buffer,1958.13
design__instance__count__class:clock_inverter,36
design__instance__area__class:clock_inverter,372.858
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,793
global_route__vias,52795
global_route__wirelength,350347
antenna__violating__nets,6
antenna__violating__pins,7
route__antenna_violation__count,6
antenna_diodes_count,47
design__instance__count__class:antenna_cell,47
design__instance__area__class:antenna_cell,117.613
route__net,6901
route__net__special,2
route__drc_errors__iter:0,3647
route__wirelength__iter:0,240618
route__drc_errors__iter:1,2127
route__wirelength__iter:1,238456
route__drc_errors__iter:2,1929
route__wirelength__iter:2,238083
route__drc_errors__iter:3,216
route__wirelength__iter:3,237782
route__drc_errors__iter:4,0
route__wirelength__iter:4,237764
route__drc_errors,0
route__wirelength,237764
route__vias,53381
route__vias__singlecut,53381
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,650.92
timing__unannotated_net__count__corner:nom_tt_025C_1v80,113
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,113
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,113
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,96
