Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,497
design__inferred_latch__count,0
design__instance__count,52583
design__instance__area,225802
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,95
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.004076696000993252
power__switching__total,0.002060859464108944
power__leakage__total,2.2692645984534465E-7
power__total,0.006137782242149115
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.29506750655781006
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2842035853765416
timing__hold__ws__corner:nom_tt_025C_1v80,0.29788439225113156
timing__setup__ws__corner:nom_tt_025C_1v80,8.369250418470825
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.297884
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,9.863010
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,793
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,95
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3267862462015106
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.31344747129490536
timing__hold__ws__corner:nom_ss_100C_1v60,0.8287181175857222
timing__setup__ws__corner:nom_ss_100C_1v60,-0.06378897590693844
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-0.06378897590693844
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-0.06378897590693844
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.828718
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,1
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-0.063789
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,1
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,95
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.28330580350228746
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.274434399639666
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11410772649743833
timing__setup__ws__corner:nom_ff_n40C_1v95,9.717082524767134
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114108
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,13.650479
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1206
design__max_fanout_violation__count,95
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2818153290495747
clock__skew__worst_setup,0.27265709906042934
timing__hold__ws,0.11201806466138918
timing__setup__ws,-0.2455919981339371
timing__hold__tns,0.0
timing__setup__tns,-0.2455919981339371
timing__hold__wns,0
timing__setup__wns,-0.2455919981339371
timing__hold_vio__count,0
timing__hold_r2r__ws,0.112018
timing__hold_r2r_vio__count,0
timing__setup_vio__count,2
timing__setup_r2r__ws,-0.245592
timing__setup_r2r_vio__count,2
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,9862
design__instance__area__stdcell,75095.8
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.332574
design__instance__utilization__stdcell,0.332574
design__rows,81
design__rows:unithd,81
design__sites,180468
design__sites:unithd,180468
design__instance__count__class:buffer,34
design__instance__area__class:buffer,146.39
design__instance__count__class:inverter,90
design__instance__area__class:inverter,414.147
design__instance__count__class:sequential_cell,1098
design__instance__area__class:sequential_cell,21981.1
design__instance__count__class:multi_input_combinational_cell,3617
design__instance__area__class:multi_input_combinational_cell,34685.8
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,42721
design__instance__area__class:fill_cell,150706
design__instance__count__class:tap_cell,3278
design__instance__area__class:tap_cell,4101.43
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1539
design__instance__area__class:timing_repair_buffer,11238.3
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,186291
design__violations,0
design__instance__count__class:clock_buffer,161
design__instance__area__class:clock_buffer,2135.8
design__instance__count__class:clock_inverter,24
design__instance__area__class:clock_inverter,340.326
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,808
global_route__vias,48123
global_route__wirelength,314895
antenna__violating__nets,2
antenna__violating__pins,2
route__antenna_violation__count,2
antenna_diodes_count,21
design__instance__count__class:antenna_cell,21
design__instance__area__class:antenna_cell,52.5504
route__net,6499
route__net__special,2
route__drc_errors__iter:0,2976
route__wirelength__iter:0,214148
route__drc_errors__iter:1,1657
route__wirelength__iter:1,212079
route__drc_errors__iter:2,1649
route__wirelength__iter:2,211825
route__drc_errors__iter:3,178
route__wirelength__iter:3,211589
route__drc_errors__iter:4,16
route__wirelength__iter:4,211599
route__drc_errors__iter:5,1
route__wirelength__iter:5,211604
route__drc_errors__iter:6,0
route__wirelength__iter:6,211605
route__drc_errors,0
route__wirelength,211605
route__vias,49107
route__vias__singlecut,49107
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,755.2
timing__unannotated_net__count__corner:nom_tt_025C_1v80,110
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,110
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,110
