Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,506
design__inferred_latch__count,0
design__instance__count,54086
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,99
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,240
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.009903122670948505
power__switching__total,0.004843167494982481
power__leakage__total,3.122077600892226E-7
power__total,0.014746601693332195
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3532810532996995
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3672091346044425
timing__hold__ws__corner:nom_tt_025C_1v80,0.297741839610738
timing__setup__ws__corner:nom_tt_025C_1v80,8.828488412435432
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.297742
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.386848
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2547
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,240
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.4072475527630732
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.42844703997324807
timing__hold__ws__corner:nom_ss_100C_1v60,0.8244807292477939
timing__setup__ws__corner:nom_ss_100C_1v60,3.987271070618069
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.824481
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,3.987271
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,240
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3279455411166113
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.337083009934609
timing__hold__ws__corner:nom_ff_n40C_1v95,0.08132350578687114
timing__setup__ws__corner:nom_ff_n40C_1v95,9.951586503195944
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.081324
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.598680
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,3287
design__max_fanout_violation__count,240
design__max_cap_violation__count,2
clock__skew__worst_hold,-0.31261558115902627
clock__skew__worst_setup,0.3231843495408506
timing__hold__ws,0.07170431118486446
timing__setup__ws,3.8353055150663375
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.071704
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.835305
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,20612
design__instance__area__stdcell,190509
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.629948
design__instance__utilization__stdcell,0.629948
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,35
design__instance__area__class:buffer,170.163
design__instance__count__class:inverter,105
design__instance__area__class:inverter,447.93
design__instance__count__class:sequential_cell,3018
design__instance__area__class:sequential_cell,60424.2
design__instance__count__class:multi_input_combinational_cell,8101
design__instance__area__class:multi_input_combinational_cell,84558.6
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,33474
design__instance__area__class:fill_cell,111911
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,4390
design__instance__area__class:timing_repair_buffer,33768.6
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,511161
design__violations,0
design__instance__count__class:clock_buffer,366
design__instance__area__class:clock_buffer,4803.36
design__instance__count__class:clock_inverter,43
design__instance__area__class:clock_inverter,444.176
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2497
global_route__vias,124721
global_route__wirelength,873057
antenna__violating__nets,22
antenna__violating__pins,35
route__antenna_violation__count,22
antenna_diodes_count,155
design__instance__count__class:antenna_cell,155
design__instance__area__class:antenna_cell,387.872
route__net,15904
route__net__special,2
route__drc_errors__iter:0,8155
route__wirelength__iter:0,603146
route__drc_errors__iter:1,3590
route__wirelength__iter:1,597826
route__drc_errors__iter:2,3416
route__wirelength__iter:2,596945
route__drc_errors__iter:3,643
route__wirelength__iter:3,596865
route__drc_errors__iter:4,174
route__wirelength__iter:4,596871
route__drc_errors__iter:5,51
route__wirelength__iter:5,596843
route__drc_errors__iter:6,41
route__wirelength__iter:6,596842
route__drc_errors__iter:7,2
route__wirelength__iter:7,596884
route__drc_errors__iter:8,0
route__wirelength__iter:8,596872
route__drc_errors,0
route__wirelength,596872
route__vias,123428
route__vias__singlecut,123428
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,1133.1
timing__unannotated_net__count__corner:nom_tt_025C_1v80,199
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,199
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
