Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,499
design__inferred_latch__count,0
design__instance__count,66690
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,32
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,132
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.006343625485897064
power__switching__total,0.003794176736846566
power__leakage__total,3.0477409040940984E-7
power__total,0.010138106532394886
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3517348456495743
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3671812680057363
timing__hold__ws__corner:nom_tt_025C_1v80,0.31061809559220355
timing__setup__ws__corner:nom_tt_025C_1v80,10.136388015852653
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.310618
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,12.954167
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2083
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,132
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.41128920877622444
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4416746815519453
timing__hold__ws__corner:nom_ss_100C_1v60,0.8496181776376873
timing__setup__ws__corner:nom_ss_100C_1v60,4.793252153083328
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.849618
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.793252
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,132
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3242371185537257
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3341005622280578
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10853185324316694
timing__setup__ws__corner:nom_ff_n40C_1v95,12.112011292300748
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108532
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.856295
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2501
design__max_fanout_violation__count,132
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.31806555511874446
clock__skew__worst_setup,0.32521417035418004
timing__hold__ws,0.10560219664292973
timing__setup__ws,4.558703765732277
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.105602
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.627664
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,14359
design__instance__area__stdcell,118715
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.39255
design__instance__utilization__stdcell,0.39255
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,42
design__instance__area__class:buffer,266.506
design__instance__count__class:inverter,82
design__instance__area__class:inverter,342.829
design__instance__count__class:sequential_cell,1693
design__instance__area__class:sequential_cell,33895
design__instance__count__class:multi_input_combinational_cell,5301
design__instance__area__class:multi_input_combinational_cell,56721.9
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,52331
design__instance__area__class:fill_cell,183705
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,2457
design__instance__area__class:timing_repair_buffer,18326.3
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,359076
design__violations,0
design__instance__count__class:clock_buffer,213
design__instance__area__class:clock_buffer,2929.06
design__instance__count__class:clock_inverter,40
design__instance__area__class:clock_inverter,399.133
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1294
global_route__vias,77088
global_route__wirelength,588839
antenna__violating__nets,26
antenna__violating__pins,38
route__antenna_violation__count,26
antenna_diodes_count,132
design__instance__count__class:antenna_cell,132
design__instance__area__class:antenna_cell,330.317
route__net,9745
route__net__special,2
route__drc_errors__iter:0,5028
route__wirelength__iter:0,419610
route__drc_errors__iter:1,2114
route__wirelength__iter:1,416554
route__drc_errors__iter:2,2027
route__wirelength__iter:2,415365
route__drc_errors__iter:3,140
route__wirelength__iter:3,415284
route__drc_errors__iter:4,4
route__wirelength__iter:4,415252
route__drc_errors__iter:5,0
route__wirelength__iter:5,415257
route__drc_errors,0
route__wirelength,415257
route__vias,77565
route__vias__singlecut,77565
route__vias__multicut,0
design__disconnected_pin__count,9
design__critical_disconnected_pin__count,0
route__wirelength__max,851.9
timing__unannotated_net__count__corner:nom_tt_025C_1v80,125
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,125
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,125
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
