Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,0
design__inferred_latch__count,0
design__instance__count,17515
design__instance__area,72564.6
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,28
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0011188804637640715
power__switching__total,0.0004799037997145206
power__leakage__total,7.010275027141688E-8
power__total,0.0015988543163985014
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.7163846385541165
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2729550274175135
timing__hold__ws__corner:nom_tt_025C_1v80,0.32932124626090753
timing__setup__ws__corner:nom_tt_025C_1v80,5.777287700649225
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.329321
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.905807
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,197
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,28
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.0230285796949752
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.5230285241838223
timing__hold__ws__corner:nom_ss_100C_1v60,0.9116415658186302
timing__setup__ws__corner:nom_ss_100C_1v60,4.203499889366272
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.911642
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.203500
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,28
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.5787643861315821
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2671965779816789
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11234397063948515
timing__setup__ws__corner:nom_ff_n40C_1v95,5.788403697975364
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112344
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.958050
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,331
design__max_fanout_violation__count,28
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.5659576301134237
clock__skew__worst_setup,-0.5505571709917811
timing__hold__ws,0.10952450367755837
timing__setup__ws,4.041762594564637
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.109525
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,4.041763
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 334.88 225.76
design__core__bbox,2.76 2.72 332.12 223.04
design__io,45
design__die__area,75602.5
design__core__area,72564.6
design__instance__count__stdcell,2897
design__instance__area__stdcell,20672.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.284882
design__instance__utilization__stdcell,0.284882
design__rows,81
design__rows:unithd,81
design__sites,57996
design__sites:unithd,57996
design__instance__count__class:buffer,6
design__instance__area__class:buffer,67.5648
design__instance__count__class:inverter,32
design__instance__area__class:inverter,122.618
design__instance__count__class:sequential_cell,319
design__instance__area__class:sequential_cell,6822.79
design__instance__count__class:multi_input_combinational_cell,1032
design__instance__area__class:multi_input_combinational_cell,8835.97
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,14618
design__instance__area__class:fill_cell,51892.3
design__instance__count__class:tap_cell,1037
design__instance__area__class:tap_cell,1297.49
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,412
design__instance__area__class:timing_repair_buffer,2751.39
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,45457.6
design__violations,0
design__instance__count__class:clock_buffer,51
design__instance__area__class:clock_buffer,706.928
design__instance__count__class:clock_inverter,8
design__instance__area__class:clock_inverter,67.5648
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,183
global_route__vias,13619
global_route__wirelength,80350
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1854
route__net__special,2
route__drc_errors__iter:0,1093
route__wirelength__iter:0,52348
route__drc_errors__iter:1,491
route__wirelength__iter:1,52028
route__drc_errors__iter:2,443
route__wirelength__iter:2,51774
route__drc_errors__iter:3,69
route__wirelength__iter:3,51738
route__drc_errors__iter:4,7
route__wirelength__iter:4,51731
route__drc_errors__iter:5,0
route__wirelength__iter:5,51733
route__drc_errors,0
route__wirelength,51733
route__vias,14245
route__vias__singlecut,14245
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,439.86
timing__unannotated_net__count__corner:nom_tt_025C_1v80,56
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,56
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,56
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,28
