Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,497
design__inferred_latch__count,0
design__instance__count,55176
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,14
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,226
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.009829595685005188
power__switching__total,0.005345623474568129
power__leakage__total,3.1476545814257406E-7
power__total,0.015175534412264824
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.337119869340069
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3376120312208046
timing__hold__ws__corner:nom_tt_025C_1v80,0.32013126389235985
timing__setup__ws__corner:nom_tt_025C_1v80,8.726536185111486
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.320131
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.360047
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2316
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,226
design__max_cap_violation__count__corner:nom_ss_100C_1v60,3
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.38949264360651964
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.39452994765631355
timing__hold__ws__corner:nom_ss_100C_1v60,0.8658303208355894
timing__setup__ws__corner:nom_ss_100C_1v60,3.9934403580957856
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.865830
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,3.993440
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,9
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,226
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.31265244056448627
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.31178091546550707
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11447743077509445
timing__setup__ws__corner:nom_ff_n40C_1v95,9.85804532574444
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.114477
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.095663
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,3049
design__max_fanout_violation__count,226
design__max_cap_violation__count,3
clock__skew__worst_hold,-0.3021877000830114
clock__skew__worst_setup,0.3047136240689253
timing__hold__ws,0.11085777054553808
timing__setup__ws,3.8224056113337785
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110858
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.822406
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,19874
design__instance__area__stdcell,183629
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.607197
design__instance__utilization__stdcell,0.607197
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,34
design__instance__area__class:buffer,155.149
design__instance__count__class:inverter,72
design__instance__area__class:inverter,291.53
design__instance__count__class:sequential_cell,2929
design__instance__area__class:sequential_cell,58641.2
design__instance__count__class:multi_input_combinational_cell,7669
design__instance__area__class:multi_input_combinational_cell,81096.5
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,35302
design__instance__area__class:fill_cell,118791
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,4214
design__instance__area__class:timing_repair_buffer,32252.2
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,491798
design__violations,0
design__instance__count__class:clock_buffer,374
design__instance__area__class:clock_buffer,4894.69
design__instance__count__class:clock_inverter,39
design__instance__area__class:clock_inverter,432.915
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2399
global_route__vias,118365
global_route__wirelength,823701
antenna__violating__nets,24
antenna__violating__pins,30
route__antenna_violation__count,24
antenna_diodes_count,144
design__instance__count__class:antenna_cell,144
design__instance__area__class:antenna_cell,360.346
route__net,15168
route__net__special,2
route__drc_errors__iter:0,7356
route__wirelength__iter:0,571357
route__drc_errors__iter:1,3181
route__wirelength__iter:1,565697
route__drc_errors__iter:2,3110
route__wirelength__iter:2,564791
route__drc_errors__iter:3,657
route__wirelength__iter:3,564807
route__drc_errors__iter:4,52
route__wirelength__iter:4,564823
route__drc_errors__iter:5,2
route__wirelength__iter:5,564819
route__drc_errors__iter:6,0
route__wirelength__iter:6,564819
route__drc_errors,0
route__wirelength,564819
route__vias,117736
route__vias__singlecut,117736
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,689.65
timing__unannotated_net__count__corner:nom_tt_025C_1v80,209
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,209
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,209
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
