Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,6
design__inferred_latch__count,0
design__instance__count,27056
design__instance__area,149183
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,139
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,102
design__max_cap_violation__count__corner:nom_tt_025C_1v80,2
power__internal__total,0.0035464130342006683
power__switching__total,0.0013462421484291553
power__leakage__total,1.5333593239574839E-7
power__total,0.004892808385193348
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-1.0299323907465572
clock__skew__worst_setup__corner:nom_tt_025C_1v80,-0.5299323352354045
timing__hold__ws__corner:nom_tt_025C_1v80,0.31825187830312174
timing__setup__ws__corner:nom_tt_025C_1v80,6.017530200010015
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.318252
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,7.612461
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1809
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,102
design__max_cap_violation__count__corner:nom_ss_100C_1v60,6
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-1.5342578752839813
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-1.0342578197728283
timing__hold__ws__corner:nom_ss_100C_1v60,0.9084595555177586
timing__setup__ws__corner:nom_ss_100C_1v60,-2.1366695684196606
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-78.89011978085529
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.1366695684196606
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.908460
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,107
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.136670
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,107
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,26
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,102
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.7832333892034583
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.32470535512760407
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10623557889639165
timing__setup__ws__corner:nom_ff_n40C_1v95,5.9553057504336255
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.106236
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,8.368279
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2194
design__max_fanout_violation__count,102
design__max_cap_violation__count,8
clock__skew__worst_hold,-0.7380957165485075
clock__skew__worst_setup,-1.1305452449757134
timing__hold__ws,0.09230005909717327
timing__setup__ws,-2.719623714320068
timing__hold__tns,0.0
timing__setup__tns,-146.45943183891018
timing__hold__wns,0
timing__setup__wns,-2.719623714320068
timing__hold_vio__count,0
timing__hold_r2r__ws,0.092300
timing__hold_r2r_vio__count,0
timing__setup_vio__count,316
timing__setup_r2r__ws,-2.719624
timing__setup_r2r_vio__count,316
design__die__bbox,0.0 0.0 682.64 225.76
design__core__bbox,2.76 2.72 679.88 223.04
design__io,45
design__die__area,154113
design__core__area,149183
design__instance__count__stdcell,11090
design__instance__area__stdcell,96506.3
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.646898
design__instance__utilization__stdcell,0.646898
design__rows,81
design__rows:unithd,81
design__sites,119232
design__sites:unithd,119232
design__instance__count__class:buffer,2
design__instance__area__class:buffer,26.2752
design__instance__count__class:inverter,55
design__instance__area__class:inverter,211.453
design__instance__count__class:sequential_cell,1107
design__instance__area__class:sequential_cell,25700.9
design__instance__count__class:multi_input_combinational_cell,5564
design__instance__area__class:multi_input_combinational_cell,52439
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,15966
design__instance__area__class:fill_cell,52676.8
design__instance__count__class:tap_cell,2158
design__instance__area__class:tap_cell,2700.09
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1875
design__instance__area__class:timing_repair_buffer,12668.4
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,274819
design__violations,0
design__instance__count__class:clock_buffer,164
design__instance__area__class:clock_buffer,2069.48
design__instance__count__class:clock_inverter,29
design__instance__area__class:clock_inverter,350.336
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,811
global_route__vias,67667
global_route__wirelength,484152
antenna__violating__nets,17
antenna__violating__pins,21
route__antenna_violation__count,17
antenna_diodes_count,136
design__instance__count__class:antenna_cell,136
design__instance__area__class:antenna_cell,340.326
route__net,8726
route__net__special,2
route__drc_errors__iter:0,5600
route__wirelength__iter:0,332423
route__drc_errors__iter:1,2924
route__wirelength__iter:1,329006
route__drc_errors__iter:2,2914
route__wirelength__iter:2,327854
route__drc_errors__iter:3,525
route__wirelength__iter:3,327789
route__drc_errors__iter:4,52
route__wirelength__iter:4,327668
route__drc_errors__iter:5,0
route__wirelength__iter:5,327683
route__drc_errors,0
route__wirelength,327683
route__vias,67838
route__vias__singlecut,67838
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,835.32
timing__unannotated_net__count__corner:nom_tt_025C_1v80,125
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,125
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,125
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
