Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,57637
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,121
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,209
design__max_cap_violation__count__corner:nom_tt_025C_1v80,3
power__internal__total,0.008588192984461784
power__switching__total,0.0040126824751496315
power__leakage__total,3.1262467814485717E-7
power__total,0.012601188383996487
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3602403755040829
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.377010183743026
timing__hold__ws__corner:nom_tt_025C_1v80,0.3076947672633856
timing__setup__ws__corner:nom_tt_025C_1v80,8.673693120358504
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.307695
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,8.673693
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,3245
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,209
design__max_cap_violation__count__corner:nom_ss_100C_1v60,13
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.41864043971938447
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.4510276446651173
timing__hold__ws__corner:nom_ss_100C_1v60,0.8782494979848896
timing__setup__ws__corner:nom_ss_100C_1v60,-2.215424351121808
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,-102.35888515397517
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,-2.215424351121808
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.878250
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,131
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,-2.215424
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,131
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,21
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,209
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,3
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.32762946061256115
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.3391373666774765
timing__hold__ws__corner:nom_ff_n40C_1v95,0.09100176425545833
timing__setup__ws__corner:nom_ff_n40C_1v95,9.844775939778836
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.091002
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,12.708265
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,4155
design__max_fanout_violation__count,209
design__max_cap_violation__count,21
clock__skew__worst_hold,-0.31164424700731047
clock__skew__worst_setup,0.32248124527947036
timing__hold__ws,0.0764363038942517
timing__setup__ws,-2.59396778066078
timing__hold__tns,0.0
timing__setup__tns,-172.94013821610915
timing__hold__wns,0
timing__setup__wns,-2.59396778066078
timing__hold_vio__count,0
timing__hold_r2r__ws,0.076436
timing__hold_r2r_vio__count,0
timing__setup_vio__count,394
timing__setup_r2r__ws,-2.593968
timing__setup_r2r_vio__count,394
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,20955
design__instance__area__stdcell,178537
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.590363
design__instance__utilization__stdcell,0.590363
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,1
design__instance__area__class:buffer,11.2608
design__instance__count__class:inverter,153
design__instance__area__class:inverter,629.354
design__instance__count__class:sequential_cell,2632
design__instance__area__class:sequential_cell,52693
design__instance__count__class:multi_input_combinational_cell,9189
design__instance__area__class:multi_input_combinational_cell,86571.8
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,36682
design__instance__area__class:fill_cell,123883
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,3986
design__instance__area__class:timing_repair_buffer,27724.1
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,574316
design__violations,0
design__instance__count__class:clock_buffer,327
design__instance__area__class:clock_buffer,4335.41
design__instance__count__class:clock_inverter,49
design__instance__area__class:clock_inverter,520.499
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,250
global_route__vias,141358
global_route__wirelength,997809
antenna__violating__nets,54
antenna__violating__pins,71
route__antenna_violation__count,54
antenna_diodes_count,219
design__instance__count__class:antenna_cell,219
design__instance__area__class:antenna_cell,548.026
route__net,16190
route__net__special,2
route__drc_errors__iter:0,11437
route__wirelength__iter:0,683830
route__drc_errors__iter:1,6780
route__wirelength__iter:1,676013
route__drc_errors__iter:2,6152
route__wirelength__iter:2,673841
route__drc_errors__iter:3,1323
route__wirelength__iter:3,673541
route__drc_errors__iter:4,352
route__wirelength__iter:4,673517
route__drc_errors__iter:5,92
route__wirelength__iter:5,673466
route__drc_errors__iter:6,7
route__wirelength__iter:6,673461
route__drc_errors__iter:7,0
route__wirelength__iter:7,673480
route__drc_errors,0
route__wirelength,673480
route__vias,136460
route__vias__singlecut,136460
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,1156.47
timing__unannotated_net__count__corner:nom_tt_025C_1v80,194
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,194
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,194
