Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,3
design__inferred_latch__count,0
design__instance__count,41196
design__instance__area,225802
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,18
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,199
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0075860111974179745
power__switching__total,0.0024501660373061895
power__leakage__total,2.3500858503666677E-7
power__total,0.010036411695182323
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3139736060011553
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3078246356053641
timing__hold__ws__corner:nom_tt_025C_1v80,0.31839798365729455
timing__setup__ws__corner:nom_tt_025C_1v80,12.2178279840381
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.318398
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.915582
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1954
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,199
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3579441011573076
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.34632894754518023
timing__hold__ws__corner:nom_ss_100C_1v60,0.8506355860462281
timing__setup__ws__corner:nom_ss_100C_1v60,7.247763483409215
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.850636
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,7.247764
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,199
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.29574463159967934
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2919274071773034
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11261814022317038
timing__setup__ws__corner:nom_ff_n40C_1v95,13.521691704602063
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.112618
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,17.659719
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2799
design__max_fanout_violation__count,199
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2927154990136223
clock__skew__worst_setup,0.28814065837781533
timing__hold__ws,0.11088463794349386
timing__setup__ws,6.928369185581444
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110885
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.928369
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,15016
design__instance__area__stdcell,138209
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.612081
design__instance__utilization__stdcell,0.612081
design__rows,81
design__rows:unithd,81
design__sites,180468
design__sites:unithd,180468
design__instance__count__class:buffer,2
design__instance__area__class:buffer,30.0288
design__instance__count__class:inverter,26
design__instance__area__class:inverter,97.5936
design__instance__count__class:sequential_cell,2495
design__instance__area__class:sequential_cell,50328.3
design__instance__count__class:multi_input_combinational_cell,5048
design__instance__area__class:multi_input_combinational_cell,50190.6
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,26180
design__instance__area__class:fill_cell,87592.8
design__instance__count__class:tap_cell,3278
design__instance__area__class:tap_cell,4101.43
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,3670
design__instance__area__class:timing_repair_buffer,28387.2
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,337068
design__violations,0
design__instance__count__class:clock_buffer,343
design__instance__area__class:clock_buffer,4474.29
design__instance__count__class:clock_inverter,29
design__instance__area__class:clock_inverter,286.525
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2205
global_route__vias,83250
global_route__wirelength,568435
antenna__violating__nets,15
antenna__violating__pins,23
route__antenna_violation__count,15
antenna_diodes_count,125
design__instance__count__class:antenna_cell,125
design__instance__area__class:antenna_cell,312.8
route__net,11471
route__net__special,2
route__drc_errors__iter:0,4198
route__wirelength__iter:0,393824
route__drc_errors__iter:1,1726
route__wirelength__iter:1,390898
route__drc_errors__iter:2,1434
route__wirelength__iter:2,389735
route__drc_errors__iter:3,34
route__wirelength__iter:3,389509
route__drc_errors__iter:4,0
route__wirelength__iter:4,389489
route__drc_errors,0
route__wirelength,389489
route__vias,82718
route__vias__singlecut,82718
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,874.11
timing__unannotated_net__count__corner:nom_tt_025C_1v80,197
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,197
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,197
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,199
