Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,2
design__inferred_latch__count,0
design__instance__count,123413
design__instance__area,694446
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,298
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,515
design__max_cap_violation__count__corner:nom_tt_025C_1v80,22
power__internal__total,0.009549599140882492
power__switching__total,0.004381927195936441
power__leakage__total,6.005576551615377E-7
power__total,0.013932126574218273
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.4638939086390786
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.4714718748858552
timing__hold__ws__corner:nom_tt_025C_1v80,0.16814083934417348
timing__setup__ws__corner:nom_tt_025C_1v80,22.27759906270529
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.168141
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,22.277599
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,8756
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,515
design__max_cap_violation__count__corner:nom_ss_100C_1v60,26
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.5993850030403458
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.613954238159943
timing__hold__ws__corner:nom_ss_100C_1v60,0.6024676483777032
timing__setup__ws__corner:nom_ss_100C_1v60,4.17708546241734
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.602468
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.177085
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,36
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,515
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,22
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.3999352906491796
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4043503146760719
timing__hold__ws__corner:nom_ff_n40C_1v95,0.018759438977644437
timing__setup__ws__corner:nom_ff_n40C_1v95,28.302676559050155
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.018759
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,29.115929
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,11541
design__max_fanout_violation__count,515
design__max_cap_violation__count,42
clock__skew__worst_hold,-0.3821270907859369
clock__skew__worst_setup,0.38535983828046877
timing__hold__ws,0.018759438977644437
timing__setup__ws,3.6540655979733545
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.018759
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.654066
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1378.16 511.36
design__core__bbox,2.76 2.72 1375.4 508.64
design__io,45
design__die__area,704736
design__core__area,694446
design__instance__count__stdcell,71707
design__instance__area__stdcell,545250
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.785159
design__instance__utilization__stdcell,0.785159
design__rows,186
design__rows:unithd,186
design__sites,555024
design__sites:unithd,555024
design__instance__count__class:buffer,2
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,849
design__instance__area__class:inverter,3560.92
design__instance__count__class:sequential_cell,5561
design__instance__area__class:sequential_cell,111723
design__instance__count__class:multi_input_combinational_cell,47187
design__instance__area__class:multi_input_combinational_cell,376049
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,51706
design__instance__area__class:fill_cell,149196
design__instance__count__class:tap_cell,9964
design__instance__area__class:tap_cell,12467
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,6191
design__instance__area__class:timing_repair_buffer,26121.3
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,1.43569E+6
design__violations,0
design__instance__count__class:clock_buffer,786
design__instance__area__class:clock_buffer,10861.7
design__instance__count__class:clock_inverter,167
design__instance__area__class:clock_inverter,1924.35
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,4
global_route__vias,405925
global_route__wirelength,2446119
antenna__violating__nets,69
antenna__violating__pins,116
route__antenna_violation__count,69
antenna_diodes_count,1000
design__instance__count__class:antenna_cell,1000
design__instance__area__class:antenna_cell,2502.4
route__net,60354
route__net__special,2
route__drc_errors__iter:0,33325
route__wirelength__iter:0,1646469
route__drc_errors__iter:1,18457
route__wirelength__iter:1,1630357
route__drc_errors__iter:2,17053
route__wirelength__iter:2,1626791
route__drc_errors__iter:3,3072
route__wirelength__iter:3,1624488
route__drc_errors__iter:4,230
route__wirelength__iter:4,1624433
route__drc_errors__iter:5,24
route__wirelength__iter:5,1624348
route__drc_errors__iter:6,5
route__wirelength__iter:6,1624355
route__drc_errors__iter:7,0
route__wirelength__iter:7,1624347
route__drc_errors,0
route__wirelength,1624347
route__vias,452227
route__vias__singlecut,452227
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,1266.95
timing__unannotated_net__count__corner:nom_tt_025C_1v80,444
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,444
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,444
