Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,43150
design__instance__area,225802
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,5
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,191
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.00773118669167161
power__switching__total,0.003097644541412592
power__leakage__total,2.2990354864305118E-7
power__total,0.010829061269760132
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.28964562124140925
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2885261833340198
timing__hold__ws__corner:nom_tt_025C_1v80,0.3242795013188895
timing__setup__ws__corner:nom_tt_025C_1v80,13.39407911382884
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.324279
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.785086
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1517
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,191
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.312786000398126
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3106836820192382
timing__hold__ws__corner:nom_ss_100C_1v60,0.9297396449218008
timing__setup__ws__corner:nom_ss_100C_1v60,8.25246294658306
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.929740
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,8.252463
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,191
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2789465681839604
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.27806627232283865
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11103440703375156
timing__setup__ws__corner:nom_ff_n40C_1v95,14.189459786555176
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.111034
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,15.911920
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,2095
design__max_fanout_violation__count,191
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2760858564355023
clock__skew__worst_setup,0.2744247962102314
timing__hold__ws,0.10847945071492258
timing__setup__ws,7.8370343544091785
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.108479
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,7.837034
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1030.4 225.76
design__core__bbox,2.76 2.72 1027.64 223.04
design__io,45
design__die__area,232623
design__core__area,225802
design__instance__count__stdcell,13942
design__instance__area__stdcell,126689
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.561063
design__instance__utilization__stdcell,0.561063
design__rows,81
design__rows:unithd,81
design__sites,180468
design__sites:unithd,180468
design__instance__count__class:buffer,1
design__instance__area__class:buffer,15.0144
design__instance__count__class:inverter,8
design__instance__area__class:inverter,30.0288
design__instance__count__class:sequential_cell,2352
design__instance__area__class:sequential_cell,47393
design__instance__count__class:multi_input_combinational_cell,4238
design__instance__area__class:multi_input_combinational_cell,42010.3
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,29208
design__instance__area__class:fill_cell,99112.6
design__instance__count__class:tap_cell,3278
design__instance__area__class:tap_cell,4101.43
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,3651
design__instance__area__class:timing_repair_buffer,28348.4
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,274074
design__violations,0
design__instance__count__class:clock_buffer,333
design__instance__area__class:clock_buffer,4355.43
design__instance__count__class:clock_inverter,24
design__instance__area__class:clock_inverter,292.781
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2226
global_route__vias,75019
global_route__wirelength,478963
antenna__violating__nets,10
antenna__violating__pins,10
route__antenna_violation__count,10
antenna_diodes_count,57
design__instance__count__class:antenna_cell,57
design__instance__area__class:antenna_cell,142.637
route__net,10471
route__net__special,2
route__drc_errors__iter:0,3743
route__wirelength__iter:0,321608
route__drc_errors__iter:1,1186
route__wirelength__iter:1,318972
route__drc_errors__iter:2,1185
route__wirelength__iter:2,318247
route__drc_errors__iter:3,34
route__wirelength__iter:3,318060
route__drc_errors__iter:4,0
route__wirelength__iter:4,318049
route__drc_errors,0
route__wirelength,318049
route__vias,73773
route__vias__singlecut,73773
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,734.67
timing__unannotated_net__count__corner:nom_tt_025C_1v80,192
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,192
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,192
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,191
