Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,58101
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,138
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,109
design__max_cap_violation__count__corner:nom_tt_025C_1v80,3
power__internal__total,0.004054190590977669
power__switching__total,0.004617065191268921
power__leakage__total,2.89843796963396E-7
power__total,0.008671545423567295
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.5358870165963914
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.5260434459147622
timing__hold__ws__corner:nom_tt_025C_1v80,0.3057225670266639
timing__setup__ws__corner:nom_tt_025C_1v80,20.047787997134293
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.305723
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,20.047789
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2752
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,109
design__max_cap_violation__count__corner:nom_ss_100C_1v60,4
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.7387983767206653
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.7232017411850232
timing__hold__ws__corner:nom_ss_100C_1v60,0.8188912002499334
timing__setup__ws__corner:nom_ss_100C_1v60,1.9191155874317865
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.818891
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,1.919116
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,109
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,3
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.45386182208253645
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.4481476150354844
timing__hold__ws__corner:nom_ff_n40C_1v95,0.08786094322996528
timing__setup__ws__corner:nom_ff_n40C_1v95,27.41891769017205
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.087861
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,27.418919
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,3662
design__max_fanout_violation__count,109
design__max_cap_violation__count,7
clock__skew__worst_hold,-0.4325101788025334
clock__skew__worst_setup,0.4279200725997061
timing__hold__ws,0.08786094322996528
timing__setup__ws,1.12074974695241
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.087861
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,1.120750
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,29045
design__instance__area__stdcell,213810
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.706997
design__instance__utilization__stdcell,0.706997
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,2
design__instance__area__class:buffer,35.0336
design__instance__count__class:inverter,225
design__instance__area__class:inverter,992.202
design__instance__count__class:sequential_cell,1444
design__instance__area__class:sequential_cell,29323.1
design__instance__count__class:multi_input_combinational_cell,19118
design__instance__area__class:multi_input_combinational_cell,153816
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,29056
design__instance__area__class:fill_cell,88610
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,3543
design__instance__area__class:timing_repair_buffer,21240.4
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,600971
design__violations,0
design__instance__count__class:clock_buffer,190
design__instance__area__class:clock_buffer,2351
design__instance__count__class:clock_inverter,30
design__instance__area__class:clock_inverter,312.8
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,1042
global_route__vias,152975
global_route__wirelength,974556
antenna__violating__nets,22
antenna__violating__pins,32
route__antenna_violation__count,22
antenna_diodes_count,94
design__instance__count__class:antenna_cell,94
design__instance__area__class:antenna_cell,235.226
route__net,24469
route__net__special,2
route__drc_errors__iter:0,11635
route__wirelength__iter:0,667343
route__drc_errors__iter:1,7053
route__wirelength__iter:1,661544
route__drc_errors__iter:2,6395
route__wirelength__iter:2,660664
route__drc_errors__iter:3,784
route__wirelength__iter:3,659627
route__drc_errors__iter:4,46
route__wirelength__iter:4,659547
route__drc_errors__iter:5,0
route__wirelength__iter:5,659548
route__drc_errors,0
route__wirelength,659548
route__vias,172695
route__vias__singlecut,172695
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,944.46
timing__unannotated_net__count__corner:nom_tt_025C_1v80,138
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,138
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,138
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,46
