Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,1
design__inferred_latch__count,0
design__instance__count,49678
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,35
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,259
design__max_cap_violation__count__corner:nom_tt_025C_1v80,1
power__internal__total,0.012684039771556854
power__switching__total,0.007582233753055334
power__leakage__total,3.067797536004946E-7
power__total,0.0202665813267231
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.301506689260446
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3031439352011652
timing__hold__ws__corner:nom_tt_025C_1v80,0.32460457462969344
timing__setup__ws__corner:nom_tt_025C_1v80,10.021377789032972
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.324605
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.769342
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,2882
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,259
design__max_cap_violation__count__corner:nom_ss_100C_1v60,1
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.33562728546354975
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.3375850528005432
timing__hold__ws__corner:nom_ss_100C_1v60,0.9055165762408491
timing__setup__ws__corner:nom_ss_100C_1v60,4.175103048128503
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.905517
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,4.175103
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,259
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,1
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.2879111197609823
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2893346477634168
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11391454768569008
timing__setup__ws__corner:nom_ff_n40C_1v95,12.084004361400254
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.113915
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.814624
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,3621
design__max_fanout_violation__count,259
design__max_cap_violation__count,1
clock__skew__worst_hold,-0.2824027480685172
clock__skew__worst_setup,0.2837995196953015
timing__hold__ws,0.11071255336981008
timing__setup__ws,3.68597784949572
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.110713
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,3.685978
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,22510
design__instance__area__stdcell,214406
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.708966
design__instance__utilization__stdcell,0.708966
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,2
design__instance__area__class:buffer,40.0384
design__instance__count__class:inverter,66
design__instance__area__class:inverter,264.003
design__instance__count__class:sequential_cell,3559
design__instance__area__class:sequential_cell,71645
design__instance__count__class:multi_input_combinational_cell,8247
design__instance__area__class:multi_input_combinational_cell,87133.6
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,27168
design__instance__area__class:fill_cell,88014.4
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,5630
design__instance__area__class:timing_repair_buffer,43580.5
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,510688
design__violations,0
design__instance__count__class:clock_buffer,433
design__instance__area__class:clock_buffer,5451.48
design__instance__count__class:clock_inverter,59
design__instance__area__class:clock_inverter,499.229
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,3357
global_route__vias,133561
global_route__wirelength,879908
antenna__violating__nets,19
antenna__violating__pins,21
route__antenna_violation__count,19
antenna_diodes_count,115
design__instance__count__class:antenna_cell,115
design__instance__area__class:antenna_cell,287.776
route__net,17810
route__net__special,2
route__drc_errors__iter:0,7394
route__wirelength__iter:0,592833
route__drc_errors__iter:1,2910
route__wirelength__iter:1,587759
route__drc_errors__iter:2,2749
route__wirelength__iter:2,586833
route__drc_errors__iter:3,297
route__wirelength__iter:3,586512
route__drc_errors__iter:4,32
route__wirelength__iter:4,586439
route__drc_errors__iter:5,0
route__wirelength__iter:5,586431
route__drc_errors,0
route__wirelength,586431
route__vias,130444
route__vias__singlecut,130444
route__vias__multicut,0
design__disconnected_pin__count,14
design__critical_disconnected_pin__count,0
route__wirelength__max,1108.52
timing__unannotated_net__count__corner:nom_tt_025C_1v80,241
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,241
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,241
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
