Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,4
design__inferred_latch__count,0
design__instance__count,2575
design__instance__area,16493.3
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,0
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,18
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.0007157033542171121
power__switching__total,0.0002068174071609974
power__leakage__total,1.72635044037861E-8
power__total,0.0009225380490534008
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.6684926135194749
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.2706687450782424
timing__hold__ws__corner:nom_tt_025C_1v80,0.323011515566604
timing__setup__ws__corner:nom_tt_025C_1v80,5.758715889368049
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323012
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,6.101279
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,66
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,18
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.9403824651814621
clock__skew__worst_setup__corner:nom_ss_100C_1v60,-0.4403824374258857
timing__hold__ws__corner:nom_ss_100C_1v60,0.9078226205505174
timing__setup__ws__corner:nom_ss_100C_1v60,2.428693759291873
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.907823
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.428694
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,18
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.5404138400850254
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.2653149164351759
timing__hold__ws__corner:nom_ff_n40C_1v95,0.10850359806639112
timing__setup__ws__corner:nom_ff_n40C_1v95,5.777427144665062
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.108504
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,7.417596
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,117
design__max_fanout_violation__count,18
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.5315324997260524
clock__skew__worst_setup,-0.4585888742993244
timing__hold__ws,0.10653395134269822
timing__setup__ws,2.2442528470837604
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.106534
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.244253
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 161.0 111.52
design__core__bbox,2.76 2.72 158.24 108.8
design__io,45
design__die__area,17954.7
design__core__area,16493.3
design__instance__count__stdcell,1242
design__instance__area__stdcell,12210.5
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.740328
design__instance__utilization__stdcell,0.740328
design__rows,39
design__rows:unithd,39
design__sites,13182
design__sites:unithd,13182
design__instance__count__class:antenna_cell,3
design__instance__area__class:antenna_cell,7.5072
design__instance__count__class:buffer,7
design__instance__area__class:buffer,78.8256
design__instance__count__class:inverter,28
design__instance__area__class:inverter,106.352
design__instance__count__class:sequential_cell,212
design__instance__area__class:sequential_cell,5186.22
design__instance__count__class:multi_input_combinational_cell,496
design__instance__area__class:multi_input_combinational_cell,4209.04
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,1333
design__instance__area__class:fill_cell,4282.86
design__instance__count__class:tap_cell,225
design__instance__area__class:tap_cell,281.52
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,227
design__instance__area__class:timing_repair_buffer,1764.19
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,21006.5
design__violations,0
design__instance__count__class:clock_buffer,37
design__instance__area__class:clock_buffer,533.011
design__instance__count__class:clock_inverter,7
design__instance__area__class:clock_inverter,43.792
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,142
global_route__vias,7198
global_route__wirelength,38847
antenna__violating__nets,0
antenna__violating__pins,0
route__antenna_violation__count,0
antenna_diodes_count,0
route__net,1015
route__net__special,2
route__drc_errors__iter:0,372
route__wirelength__iter:0,23352
route__drc_errors__iter:1,112
route__wirelength__iter:1,23109
route__drc_errors__iter:2,111
route__wirelength__iter:2,23112
route__drc_errors__iter:3,11
route__wirelength__iter:3,23086
route__drc_errors__iter:4,0
route__wirelength__iter:4,23081
route__drc_errors,0
route__wirelength,23081
route__vias,7117
route__vias__singlecut,7117
route__vias__multicut,0
design__disconnected_pin__count,10
design__critical_disconnected_pin__count,0
route__wirelength__max,260.82
timing__unannotated_net__count__corner:nom_tt_025C_1v80,46
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,46
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,46
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,0
design__max_fanout_violation__count__corner:min_tt_025C_1v80,18
