Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,493
design__inferred_latch__count,0
design__instance__count,30049
design__instance__area,149183
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,31
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,95
design__max_cap_violation__count__corner:nom_tt_025C_1v80,0
power__internal__total,0.004263031296432018
power__switching__total,0.002580452710390091
power__leakage__total,1.4843215012660949E-7
power__total,0.00684363255277276
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3147373284413945
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.3152693473298414
timing__hold__ws__corner:nom_tt_025C_1v80,0.33356596207100564
timing__setup__ws__corner:nom_tt_025C_1v80,8.920911373224905
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.333566
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,13.093704
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,1273
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,95
design__max_cap_violation__count__corner:nom_ss_100C_1v60,0
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.3553765993179456
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.35701773103936085
timing__hold__ws__corner:nom_ss_100C_1v60,0.9115473078811737
timing__setup__ws__corner:nom_ss_100C_1v60,6.446017235768855
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.911547
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,6.705085
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,0
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,95
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,0
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.293782645415073
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.29374195574006967
timing__hold__ws__corner:nom_ff_n40C_1v95,0.11518386570564279
timing__setup__ws__corner:nom_ff_n40C_1v95,10.046562977014275
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.115184
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,16.186754
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,1692
design__max_fanout_violation__count,95
design__max_cap_violation__count,0
clock__skew__worst_hold,-0.2897391575338793
clock__skew__worst_setup,0.29006994849342177
timing__hold__ws,0.11168360996576183
timing__setup__ws,6.302278877151488
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.111684
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,6.546274
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 682.64 225.76
design__core__bbox,2.76 2.72 679.88 223.04
design__io,45
design__die__area,154113
design__core__area,149183
design__instance__count__stdcell,8868
design__instance__area__stdcell,76219.4
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.510912
design__instance__utilization__stdcell,0.510912
design__rows,81
design__rows:unithd,81
design__sites,119232
design__sites:unithd,119232
design__instance__count__class:buffer,34
design__instance__area__class:buffer,142.637
design__instance__count__class:inverter,78
design__instance__area__class:inverter,336.573
design__instance__count__class:sequential_cell,1108
design__instance__area__class:sequential_cell,22181.3
design__instance__count__class:multi_input_combinational_cell,3739
design__instance__area__class:multi_input_combinational_cell,37443.4
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,21181
design__instance__area__class:fill_cell,72963.7
design__instance__count__class:tap_cell,2158
design__instance__area__class:tap_cell,2700.09
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,1522
design__instance__area__class:timing_repair_buffer,11004.3
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,207893
design__violations,0
design__instance__count__class:clock_buffer,152
design__instance__area__class:clock_buffer,1953.12
design__instance__count__class:clock_inverter,29
design__instance__area__class:clock_inverter,337.824
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,771
global_route__vias,51852
global_route__wirelength,348539
antenna__violating__nets,6
antenna__violating__pins,8
route__antenna_violation__count,6
antenna_diodes_count,48
design__instance__count__class:antenna_cell,48
design__instance__area__class:antenna_cell,120.115
route__net,6600
route__net__special,2
route__drc_errors__iter:0,3772
route__wirelength__iter:0,240639
route__drc_errors__iter:1,2211
route__wirelength__iter:1,238486
route__drc_errors__iter:2,2148
route__wirelength__iter:2,237849
route__drc_errors__iter:3,463
route__wirelength__iter:3,237836
route__drc_errors__iter:4,25
route__wirelength__iter:4,237802
route__drc_errors__iter:5,0
route__wirelength__iter:5,237799
route__drc_errors,0
route__wirelength,237799
route__vias,52065
route__vias__singlecut,52065
route__vias__multicut,0
design__disconnected_pin__count,13
design__critical_disconnected_pin__count,0
route__wirelength__max,618.57
timing__unannotated_net__count__corner:nom_tt_025C_1v80,108
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,108
timing__unannotated_net_filtered__count__corner:nom_ss_100C_1v60,0
timing__unannotated_net__count__corner:nom_ff_n40C_1v95,108
timing__unannotated_net_filtered__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count__corner:min_tt_025C_1v80,5
