Metric,Value
design__lint_error__count,0
design__lint_timing_construct__count,0
design__lint_warning__count,503
design__inferred_latch__count,0
design__instance__count,51889
design__instance__area,302420
design__instance_unmapped__count,0
synthesis__check_error__count,0
design__max_slew_violation__count__corner:nom_tt_025C_1v80,300
design__max_fanout_violation__count__corner:nom_tt_025C_1v80,246
design__max_cap_violation__count__corner:nom_tt_025C_1v80,8
power__internal__total,0.010338176041841507
power__switching__total,0.006471289787441492
power__leakage__total,3.127325101104361E-7
power__total,0.016809778288006783
clock__skew__worst_hold__corner:nom_tt_025C_1v80,-0.3722288971299513
clock__skew__worst_setup__corner:nom_tt_025C_1v80,0.37485235421133695
timing__hold__ws__corner:nom_tt_025C_1v80,0.3231026648795036
timing__setup__ws__corner:nom_tt_025C_1v80,7.7867154927963735
timing__hold__tns__corner:nom_tt_025C_1v80,0.0
timing__setup__tns__corner:nom_tt_025C_1v80,0.0
timing__hold__wns__corner:nom_tt_025C_1v80,0
timing__setup__wns__corner:nom_tt_025C_1v80,0.0
timing__hold_vio__count__corner:nom_tt_025C_1v80,0
timing__hold_r2r__ws__corner:nom_tt_025C_1v80,0.323103
timing__hold_r2r_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_vio__count__corner:nom_tt_025C_1v80,0
timing__setup_r2r__ws__corner:nom_tt_025C_1v80,11.812253
timing__setup_r2r_vio__count__corner:nom_tt_025C_1v80,0
design__max_slew_violation__count__corner:nom_ss_100C_1v60,3798
design__max_fanout_violation__count__corner:nom_ss_100C_1v60,246
design__max_cap_violation__count__corner:nom_ss_100C_1v60,17
clock__skew__worst_hold__corner:nom_ss_100C_1v60,-0.4343854010553114
clock__skew__worst_setup__corner:nom_ss_100C_1v60,0.43933055659145537
timing__hold__ws__corner:nom_ss_100C_1v60,0.8621286151221929
timing__setup__ws__corner:nom_ss_100C_1v60,2.336177539765692
timing__hold__tns__corner:nom_ss_100C_1v60,0.0
timing__setup__tns__corner:nom_ss_100C_1v60,0.0
timing__hold__wns__corner:nom_ss_100C_1v60,0
timing__setup__wns__corner:nom_ss_100C_1v60,0.0
timing__hold_vio__count__corner:nom_ss_100C_1v60,0
timing__hold_r2r__ws__corner:nom_ss_100C_1v60,0.862129
timing__hold_r2r_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_vio__count__corner:nom_ss_100C_1v60,0
timing__setup_r2r__ws__corner:nom_ss_100C_1v60,2.336178
timing__setup_r2r_vio__count__corner:nom_ss_100C_1v60,0
design__max_slew_violation__count__corner:nom_ff_n40C_1v95,46
design__max_fanout_violation__count__corner:nom_ff_n40C_1v95,246
design__max_cap_violation__count__corner:nom_ff_n40C_1v95,8
clock__skew__worst_hold__corner:nom_ff_n40C_1v95,-0.33927969727325885
clock__skew__worst_setup__corner:nom_ff_n40C_1v95,0.34079293129862015
timing__hold__ws__corner:nom_ff_n40C_1v95,0.1065783047537864
timing__setup__ws__corner:nom_ff_n40C_1v95,9.283145181981658
timing__hold__tns__corner:nom_ff_n40C_1v95,0.0
timing__setup__tns__corner:nom_ff_n40C_1v95,0.0
timing__hold__wns__corner:nom_ff_n40C_1v95,0
timing__setup__wns__corner:nom_ff_n40C_1v95,0.0
timing__hold_vio__count__corner:nom_ff_n40C_1v95,0
timing__hold_r2r__ws__corner:nom_ff_n40C_1v95,0.106578
timing__hold_r2r_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_vio__count__corner:nom_ff_n40C_1v95,0
timing__setup_r2r__ws__corner:nom_ff_n40C_1v95,14.955956
timing__setup_r2r_vio__count__corner:nom_ff_n40C_1v95,0
design__max_slew_violation__count,4736
design__max_fanout_violation__count,246
design__max_cap_violation__count,29
clock__skew__worst_hold,-0.32017442381366285
clock__skew__worst_setup,0.32060763285012356
timing__hold__ws,0.10123802083200338
timing__setup__ws,2.037397863642182
timing__hold__tns,0.0
timing__setup__tns,0.0
timing__hold__wns,0
timing__setup__wns,0.0
timing__hold_vio__count,0
timing__hold_r2r__ws,0.101238
timing__hold_r2r_vio__count,0
timing__setup_vio__count,0
timing__setup_r2r__ws,2.037398
timing__setup_r2r_vio__count,0
design__die__bbox,0.0 0.0 1378.16 225.76
design__core__bbox,2.76 2.72 1375.4 223.04
design__io,45
design__die__area,311133
design__core__area,302420
design__instance__count__stdcell,23314
design__instance__area__stdcell,210263
design__instance__count__macros,0
design__instance__area__macros,0
design__instance__count__padcells,0
design__instance__area__padcells,0
design__instance__count__cover,0
design__instance__area__cover,0
design__instance__utilization,0.695268
design__instance__utilization__stdcell,0.695268
design__rows,81
design__rows:unithd,81
design__sites,241704
design__sites:unithd,241704
design__instance__count__class:buffer,34
design__instance__area__class:buffer,155.149
design__instance__count__class:inverter,169
design__instance__area__class:inverter,709.43
design__instance__count__class:sequential_cell,3017
design__instance__area__class:sequential_cell,60435.5
design__instance__count__class:multi_input_combinational_cell,10292
design__instance__area__class:multi_input_combinational_cell,102169
flow__warnings__count,1
flow__errors__count,0
design__instance__count__class:fill_cell,28575
design__instance__area__class:fill_cell,92157.1
design__instance__count__class:tap_cell,4399
design__instance__area__class:tap_cell,5504.03
design__power_grid_violation__count__net:VGND,0
design__power_grid_violation__count__net:VPWR,0
design__power_grid_violation__count,0
design__instance__count__class:timing_repair_buffer,4740
design__instance__area__class:timing_repair_buffer,35225
timing__drv__floating__nets,0
timing__drv__floating__pins,0
design__instance__displacement__total,0
design__instance__displacement__mean,0
design__instance__displacement__max,0
route__wirelength__estimated,643355
design__violations,0
design__instance__count__class:clock_buffer,366
design__instance__area__class:clock_buffer,4803.36
design__instance__count__class:clock_inverter,63
design__instance__area__class:clock_inverter,675.648
design__instance__count__setup_buffer,0
design__instance__count__hold_buffer,2474
global_route__vias,156894
global_route__wirelength,1147366
antenna__violating__nets,64
antenna__violating__pins,78
route__antenna_violation__count,64
antenna_diodes_count,234
design__instance__count__class:antenna_cell,234
design__instance__area__class:antenna_cell,585.562
route__net,18508
route__net__special,2
route__drc_errors__iter:0,12246
route__wirelength__iter:0,774165
route__drc_errors__iter:1,6807
route__wirelength__iter:1,765791
route__drc_errors__iter:2,6840
route__wirelength__iter:2,762468
route__drc_errors__iter:3,1783
route__wirelength__iter:3,762158
route__drc_errors__iter:4,630
route__wirelength__iter:4,762198
route__drc_errors__iter:5,218
route__wirelength__iter:5,762068
route__drc_errors__iter:6,96
route__wirelength__iter:6,762086
route__drc_errors__iter:7,14
route__wirelength__iter:7,762110
route__drc_errors__iter:8,7
route__wirelength__iter:8,762106
route__drc_errors__iter:9,1
route__wirelength__iter:9,762123
route__drc_errors__iter:10,0
route__wirelength__iter:10,762126
route__drc_errors,0
route__wirelength,762126
route__vias,152912
route__vias__singlecut,152912
route__vias__multicut,0
design__disconnected_pin__count,12
design__critical_disconnected_pin__count,0
route__wirelength__max,1197.75
timing__unannotated_net__count__corner:nom_tt_025C_1v80,218
timing__unannotated_net_filtered__count__corner:nom_tt_025C_1v80,0
timing__unannotated_net__count__corner:nom_ss_100C_1v60,218
